punit_idx,E[N],1,2,3,4,5
90,3.8262262980656563,0.241126178,0.241126178,0.679654055,0.429890303,
50,3.666589786660696,0.198553665,0.437277919,0.386243281,,
65,1.9656977837328706,0.379939181,0.379939181,,,
85,2.2156864297336267,0.302415181,,,,
99,3.3995389760268746,0.486906039,0.486906039,0.350474393,,
32,2.3047409798206475,0.554677459,0.354698724,,,
35,2.3543835474478114,0.737668953,0.498284557,0.696160728,,
92,3.061122464372342,0.527881884,,,,
72,3.1438868710435237,0.819278898,0.819278898,0.550679229,,
38,2.1274727151588646,0.929623072,0.628415368,0.47539448,,
36,3.439471233780485,0.565013519,0.498284557,0.737668953,0.737668953,
19,2.4470332597624904,0.475596501,0.426455835,,,
71,2.4966713036064765,0.341858376,0.207004214,0.207004214,,
73,2.4441156356980076,0.639468887,0.207004214,0.917320965,0.207004214,
22,2.6480699305557898,1.287829238,1.287829238,1.052356341,,
98,3.1949872979056737,0.842129698,0.224114334,0.842129698,,
30,3.091843785667665,0.593275359,0.593275359,0.593275359,,
38,2.1274727151588646,0.628415368,0.555764093,0.628415368,,
31,3.5215750421245287,0.498284557,0.737668953,0.696160728,,
15,2.658432846403966,0.47756148,0.710300061,0.47756148,,
79,3.219615691812704,0.232096649,0.302415181,0.28463147,0.302415181,
51,3.592175091194272,0.35178314,0.613265541,0.386243281,0.35178314,
56,2.396243216017154,0.613265541,0.560787648,,,
21,3.524935133144591,0.680994673,0.680994673,,,
82,2.4063113016692403,0.484830596,0.44347814,,,
60,2.2837184650461726,0.437277919,0.316447193,,,
14,3.5940656687277173,0.680994673,0.66839441,0.680994673,,
28,1.4211512967537323,0.72813035,,,,
44,1.4289737455912241,0.516423733,,,,
73,2.4441156356980076,0.207004214,0.639468887,0.207004214,,
30,3.091843785667665,0.72813035,0.565013519,,,
80,3.3776532725068216,0.484830596,0.28463147,0.484830596,,
45,1.6410693293062848,0.603195073,0.516423733,,,
91,3.9967695567708907,0.258261644,0.241126178,0.241126178,0.429890303,
54,1.2247312697266541,0.659421977,0.739917238,,,
104,3.3266168429080953,0.260911857,0.350474393,0.842129698,0.350474393,0.260911857
84,1.000166734033886,0.346625671,,,,
45,1.6410693293062848,0.603195073,,,,
50,3.666589786660696,0.613265541,0.386243281,0.35178314,0.613265541,
30,3.091843785667665,0.498284557,0.565013519,0.565013519,,
71,2.4966713036064765,0.639468887,0.341858376,0.917320965,0.207004214,
86,3.55484815786707,0.233462495,0.344659649,0.258261644,0.378690387,0.344659649
